Parameter ;        PIN_SVM .  ;       Hinge_Loss_SVM.  ;    Insensitive Pin_SVM ;   Noise_level     ; Tau(t)   ;    Epsilon(z) 
b;-0.05992;-0.076212;-0.029195;0.1;0.5;0.2
w;(0.52023 -0.22597);(1.0419 -0.57879);(0.50719 -0.24859)
-w(1)/(w(2));2.3022;1.8002;2.0403
-b/(w(2));-0.26517;-0.13167;-0.11745
b;-0.062637;-0.15417;-0.033255;0.2;0.5;0.2
w;(0.49445 -0.23032);(0.54032 -0.59325);(0.45496 -0.25065)
-w(1)/(w(2));2.1468;0.91077;1.8151
-b/(w(2));-0.27195;-0.25986;-0.13268
b;-0.055917;-0.0041371;-0.0096338;0.4;0.5;0.2
w;(0.51975 -0.22713);(0.6337 -0.63892);(0.48117 -0.25137)
-w(1)/(w(2));2.2884;0.99183;1.9142
-b/(w(2));-0.2462;-0.0064751;-0.038326
b;-0.044259;-0.16175;-0.022125;0.5;0.5;0.2
w;(0.40156 -0.23887);(0.019557 -0.7046);(0.32901 -0.26043)
-w(1)/(w(2));1.6811;0.027756;1.2633
-b/(w(2));-0.18528;-0.22957;-0.084956
b;-0.030226;-0.029876;-0.011481;0.8;0.5;0.2
w;(0.38193 -0.24376);(-0.13863 -0.87494);(0.30803 -0.26398)
-w(1)/(w(2));1.5668;-0.15845;1.1669
-b/(w(2));-0.124;-0.034147;-0.043494
b;-0.068095;-0.2682;-0.050038;0.9;0.5;0.2
w;(0.46522 -0.23214);(0.24736 -0.73415);(0.40266 -0.25715)
-w(1)/(w(2));2.0041;0.33693;1.5658
-b/(w(2));-0.29334;-0.36532;-0.19458
